Company Name,Symbol,Ticker,19-06-2026,3 Months Ret,6 Months Ret,9 Months Ret,12 Months Ret,Weighted Ret,EMA200,CMP away from EMA
Hitachi Energy India Ltd.,POWERINDIA,NSE:POWERINDIA,36880,52.05%,99.73%,94.16%,95.52%,78.70%,23622.8,56.12%
Apar Industries Ltd.,APARINDS,NSE:APARINDS,16280,66.04%,83.10%,87.64%,107.43%,82.05%,9871,64.93%
Adani Power Ltd.,ADANIPOWER,NSE:ADANIPOWER,231.76,56.75%,60.61%,42.75%,115.39%,66.45%,163.6,41.64%
Welspun Corp Ltd.,WELCORP,NSE:WELCORP,1423.4,84.63%,75.07%,61.17%,60.65%,73.23%,942.2,51.08%
Netweb Technologies India Ltd.,NETWEB,NSE:NETWEB,5060.9,63.91%,56.57%,42.93%,187.32%,82.93%,3527.6,43.47%
Adani Energy Solutions Ltd.,ADANIENSOL,NSE:ADANIENSOL,1507.4,59.19%,51.56%,62.94%,80.05%,62.59%,1059.9,42.22%
Kirloskar Oil Eng Ltd.,KIRLOSENG,NSE:KIRLOSENG,1991.5,54.66%,53.39%,108.86%,135.30%,81.37%,1288,54.62%
Bharat Heavy Electricals Ltd.,BHEL,NSE:BHEL,414.35,63.87%,46.98%,73.56%,63.26%,62.31%,286.7,44.52%
Syrma SGS Technology Ltd.,SYRMA,NSE:SYRMA,1334,78.82%,81.87%,63.10%,165.05%,93.53%,859.8,55.15%
Data Patterns (India) Ltd.,DATAPATTNS,NSE:DATAPATTNS,4822.1,56.94%,81.43%,73.88%,59.48%,65.73%,3100.9,55.51%
Balaji Amines Ltd.,BALAMINES,NSE:BALAMINES,2138.2,113.22%,89.81%,46.19%,48.66%,82.22%,1328,61.02%
HFCL Ltd.,HFCL,NSE:HFCL,209.61,215.25%,216.34%,178.22%,156.44%,196.30%,88.8,136.09%
Vodafone Idea Ltd.,IDEA,NSE:IDEA,14.92,71.49%,24.23%,71.10%,127.79%,73.22%,10.4,43.13%
Jammu & Kashmir Bank Ltd.,J&KBANK,NSE:J&KBANK,163.56,49.60%,63.51%,55.34%,59.95%,55.60%,114.4,42.97%
Sun Pharma Advanced Research Company Ltd.,SPARC,NSE:SPARC,238.09,119.01%,77.67%,70.81%,52.01%,87.70%,145.1,64.12%
R R Kabel Ltd.,RRKABEL,NSE:RRKABEL,2321.1,76.36%,52.06%,79.53%,74.87%,71.84%,1492.9,55.47%
Thermax Ltd.,THERMAX,NSE:THERMAX,4702.4,51.64%,60.40%,40.00%,35.22%,47.78%,3414,37.74%
Vardhman Textiles Ltd.,VTL,NSE:VTL,657.45,22.02%,48.12%,57.40%,40.51%,38.02%,491.9,33.64%
Polycab India Ltd.,POLYCAB,NSE:POLYCAB,10083,48.39%,31.89%,32.32%,60.31%,44.26%,7835.1,28.69%
Shriram Finance Ltd.,SHRIRAMFIN,NSE:SHRIRAMFIN,1001.9,14.15%,4.60%,59.34%,51.42%,28.73%,882.6,13.52%
Torrent Pharmaceuticals Ltd.,TORNTPHARM,NSE:TORNTPHARM,4429.8,5.12%,15.96%,21.31%,39.94%,17.49%,3982.3,11.24%
Ramkrishna Forgings Ltd.,RKFORGE,NSE:RKFORGE,588.7,27.23%,12.32%,4.42%,-6.88%,12.86%,545.8,7.85%
Chambal Fertilizers & Chemicals Ltd.,CHAMBLFERT,NSE:CHAMBLFERT,484.2,16.96%,3.26%,-9.85%,-14.04%,2.66%,466.5,3.80%
